Table S5: Skewing of ABIS-samples as measured by mini-TRiXi using 2 out of 5 repeats.			
sample	mean_skewing	TRiXi1_skewing	TRiXi3_skewing
300173	50.4	50.4	homozygous
301140	50.4	50.4	homozygous
301295	50.4	homozygous	50.4
301297	50.4	homozygous	50.4
318450	50.4	50.4	homozygous
300214	50.3	homozygous	50.3
303704	50.3	50.3	homozygous
300216	50.2	50.2	homozygous
307929	50.2	homozygous	50.2
319726	79	80.2	77.7
300848	78	80.6	75.4
319250	78	78	homozygous
302739	77	76.4	77.5
305165	75	75.1	74.9
301170	74	76.8	71.3
303440	74	81.1	66.9
300455	71	74.5	67.4
301465	71	71	homozygous
317513	71	72.5	69.4
301028	70	68.8	71.2
319638	69	homozygous	69
323333	69	73.1	64.9
300247	67	67	homozygous
300562	67	69.9	64.1
303795	67	homozygous	67
307816	67	homozygous	67
316468	67	67	homozygous
320832	67	70.3	63.6
300862	66	62.4	69.7
300884	65	homozygous	65
303772	65	64.5	65.4
319197	65	homozygous	65
322041	65	65	homozygous
300091	64	58.8	69.2
300559	64	64	homozygous
300935	64	56.6	71.3
303208	64	66.8	61.1
303423	64	homozygous	64
318120	64	64.9	63
300845	63	67.6	58.5
303671	62	62	homozygous
303681	62	61.7	62.3
319806	62	60.5	63.5
301065	61	58.3	63.6
301273	61	57.3	64.8
316367	61	61	homozygous
300223	60	58.5	61.4
302873	60	59.5	60.5
319691	60	56.8	63.3
321467	60	65.8	54.2
323240	60	58.1	61.8
300178	59	56.2	61.7
301463	59	59	59
302838	59	56.3	61.7
303517	59	62.2	55.7
305131	59	52.6	65.5
305379	59	homozygous	59
317607	59	62.4	55.5
303730	58	58.4	57.5
315339	58	59.7	56.4
317921	58	homozygous	58
318736	58	57.3	58.6
301014	57	55.5	58.5
301152	57	58.4	55.6
301576	57	homozygous	57
302733	57	57.7	56.4
319016	57	52.9	61.1
300120	56	61.2	50.9
300554	56	55.1	57
302724	56	60.7	51.3
302903	56	60.8	51.3
300207	55	55.5	54.6
300516	55	56.1	54
300922	55	53.5	56.6
301143	55	53.6	56.4
301394	55	55	homozygous
303476	55	50.9	59.1
303616	55	59.9	50.2
316517	55	57.2	52.7
324421	55	55	homozygous
300417	54	50.7	57.4
300912	54	53.3	54.6
301045	54	50.6	57.3
301252	54	52.3	55.7
302766	54	52.8	55.2
303299	54	53.7	54.2
307938	54	57.3	50.7
317457	54	52.4	55.5
318520	54	56.3	51.6
300074	53	51.5	54.6
300115	53	52.4	53.7
301013	53	homozygous	53
301206	53	54	52
303638	53	54.5	51.6
324193	53	53.7	52.3
318257	52	52.6	51.5
321996	52	54	50
324222	52	52.1	51.9
300468	51	50.3	51.8
301197	51	homozygous	51
302722	51	52	50.1

