participant	variable	n	min	max	median	iqr	mean	sd	se	ci
GTEX-183WM	median	22	0.062	0.341	0.108	0.094	0.151	0.093	0.02	0.041
GTEX-18A7A	median	23	0.065	0.378	0.141	0.081	0.152	0.076	0.016	0.033
GTEX-18D9A	median	19	0.048	0.396	0.079	0.058	0.112	0.08	0.018	0.038
GTEX-19HZE	median	11	0.061	0.402	0.154	0.138	0.177	0.104	0.031	0.07
GTEX-1A32A	median	21	0.076	0.454	0.198	0.152	0.227	0.101	0.022	0.046
GTEX-1A3MW	median	15	0.065	0.458	0.138	0.126	0.17	0.104	0.027	0.058
GTEX-1A8FM	median	20	0.056	0.266	0.104	0.06	0.123	0.054	0.012	0.025
GTEX-1AMEY	median	18	0.046	0.277	0.087	0.046	0.105	0.056	0.013	0.028
GTEX-1AMFI	median	23	0.058	0.281	0.128	0.112	0.153	0.069	0.014	0.03
GTEX-1B932	median	23	0.071	0.406	0.119	0.117	0.166	0.101	0.021	0.044
GTEX-1B97J	median	19	0.056	0.296	0.113	0.117	0.142	0.071	0.016	0.034
GTEX-1C475	median	22	0.1	0.475	0.295	0.096	0.289	0.098	0.021	0.043
GTEX-1CAMS	median	23	0.056	0.369	0.23	0.073	0.228	0.078	0.016	0.034
GTEX-1CAV2	median	14	0.09	0.5	0.345	0.082	0.335	0.101	0.027	0.059
GTEX-1CB4H	median	22	0.06	0.231	0.129	0.075	0.131	0.051	0.011	0.023
GTEX-1EWIQ	median	26	0.075	0.341	0.198	0.1	0.191	0.069	0.014	0.028
GTEX-1F52S	median	20	0.05	0.22	0.073	0.017	0.09	0.044	0.01	0.02
GTEX-1F5PL	median	19	0.07	0.375	0.13	0.068	0.151	0.086	0.02	0.042
GTEX-1F6RS	median	8	0.071	0.344	0.086	0.022	0.116	0.093	0.033	0.078
GTEX-1F7RK	median	16	0.071	0.266	0.104	0.059	0.12	0.055	0.014	0.029
GTEX-1F88E	median	10	0.044	0.458	0.244	0.154	0.23	0.123	0.039	0.088
GTEX-1F88F	median	18	0.09	0.324	0.167	0.034	0.166	0.055	0.013	0.027
GTEX-1GF9U	median	21	0.065	0.44	0.206	0.211	0.218	0.119	0.026	0.054
GTEX-1GF9X	median	19	0.071	0.387	0.151	0.116	0.164	0.085	0.019	0.041
GTEX-1GN1W	median	21	0.056	0.294	0.124	0.09	0.147	0.068	0.015	0.031
GTEX-1GZ4H	median	18	0.056	0.433	0.084	0.086	0.126	0.089	0.021	0.044
GTEX-1GZHY	median	22	0.091	0.409	0.258	0.075	0.253	0.08	0.017	0.036
GTEX-1H1CY	median	25	0.062	0.4	0.114	0.112	0.157	0.092	0.018	0.038
GTEX-1H1DF	median	9	0.073	0.214	0.141	0.019	0.141	0.038	0.013	0.029
GTEX-1H2FU	median	19	0.057	0.262	0.089	0.038	0.105	0.054	0.012	0.026
GTEX-1HBPH	median	33	0.039	0.216	0.095	0.076	0.107	0.047	0.008	0.017
GTEX-1HBPM	median	25	0.044	0.278	0.157	0.099	0.151	0.062	0.012	0.026
GTEX-1HC8U	median	15	0.045	0.34	0.167	0.089	0.172	0.097	0.025	0.054
GTEX-1HCU8	median	14	0.088	0.435	0.152	0.12	0.195	0.118	0.032	0.068
GTEX-1HCUA	median	24	0.05	0.313	0.09	0.059	0.114	0.069	0.014	0.029
GTEX-1HFI7	median	22	0.148	0.448	0.305	0.09	0.303	0.086	0.018	0.038
GTEX-1HSGN	median	25	0.078	0.424	0.211	0.138	0.228	0.1	0.02	0.041
GTEX-1I1CD	median	22	0.118	0.4	0.229	0.111	0.251	0.085	0.018	0.038
GTEX-1I1GT	median	21	0.071	0.417	0.125	0.071	0.152	0.082	0.018	0.037
GTEX-1I4MK	median	21	0.12	0.473	0.359	0.1	0.351	0.089	0.019	0.041
GTEX-1ICG6	median	23	0.071	0.346	0.212	0.099	0.211	0.075	0.016	0.032
GTEX-1IDJE	median	10	0.115	0.357	0.271	0.147	0.25	0.087	0.027	0.062
GTEX-1IDJI	median	12	0.082	0.227	0.12	0.053	0.131	0.046	0.013	0.029
GTEX-1IDJU	median	26	0.057	0.282	0.138	0.124	0.148	0.072	0.014	0.029
GTEX-1IE54	median	13	0.058	0.278	0.182	0.127	0.166	0.072	0.02	0.043
GTEX-1IKOE	median	19	0.1	0.3	0.204	0.11	0.204	0.065	0.015	0.031
GTEX-1IKOH	median	15	0.25	0.486	0.355	0.087	0.351	0.063	0.016	0.035
GTEX-1J8EW	median	29	0.056	0.315	0.118	0.072	0.135	0.066	0.012	0.025
GTEX-1J8JJ	median	15	0.11	0.344	0.238	0.129	0.223	0.077	0.02	0.043
GTEX-1J8QM	median	23	0.058	0.328	0.119	0.064	0.14	0.07	0.015	0.03
GTEX-1JMOU	median	15	0.048	0.363	0.2	0.124	0.212	0.097	0.025	0.054
GTEX-1JMQL	median	15	0.057	0.304	0.111	0.09	0.137	0.079	0.02	0.044
GTEX-1JN1M	median	20	0.065	0.429	0.26	0.061	0.263	0.081	0.018	0.038
GTEX-1JN76	median	16	0.052	0.348	0.12	0.1	0.139	0.088	0.022	0.047
GTEX-1K9T9	median	25	0.071	0.239	0.124	0.071	0.134	0.051	0.01	0.021
GTEX-1KANC	median	16	0.071	0.421	0.214	0.115	0.223	0.102	0.025	0.054
GTEX-1LGOU	median	22	0.056	0.262	0.106	0.065	0.122	0.056	0.012	0.025
GTEX-1LH75	median	20	0.139	0.403	0.29	0.142	0.278	0.081	0.018	0.038
GTEX-1LKK1	median	10	0.078	0.384	0.204	0.103	0.202	0.091	0.029	0.065
GTEX-1LNCM	median	11	0.055	0.244	0.1	0.079	0.133	0.063	0.019	0.042
GTEX-1LVAM	median	13	0.053	0.362	0.097	0.073	0.133	0.101	0.028	0.061
GTEX-1LVAN	median	24	0.071	0.395	0.175	0.076	0.188	0.087	0.018	0.037
GTEX-1MA7W	median	13	0.057	0.374	0.148	0.077	0.161	0.087	0.024	0.053
GTEX-1MCC2	median	19	0.05	0.422	0.124	0.114	0.167	0.116	0.027	0.056
GTEX-1MCYP	median	13	0.061	0.207	0.081	0.029	0.098	0.046	0.013	0.028
