sample	variable	value	XCI pattern
302707	mean	75.2	skewed
302707	TRiXi1	74	skewed
302707	TRiXi3	76.4	skewed
302708	mean	58.5	mosaic
302708	TRiXi1	55.5	mosaic
302708	TRiXi3	61.5	mosaic
302709	mean	61.1	mosaic
302709	TRiXi1	61.1	mosaic
302712	mean	61.9	mosaic
302712	TRiXi1	54.4	mosaic
302712	TRiXi3	69.4	mosaic
302714	mean	55.5	mosaic
302714	TRiXi3	55.5	mosaic
302715	mean	68.9	mosaic
302715	TRiXi1	73	mosaic
302715	TRiXi3	64.8	mosaic
302716	mean	65.4	mosaic
302716	TRiXi1	62.5	mosaic
302716	TRiXi3	68.3	mosaic
302717	mean	69.7	mosaic
302717	TRiXi1	64.9	mosaic
302717	TRiXi3	74.5	mosaic
302722	mean	51	mosaic
302722	TRiXi1	52	mosaic
302722	TRiXi3	50.1	mosaic
302724	mean	56	mosaic
302724	TRiXi1	60.7	mosaic
302724	TRiXi3	51.3	mosaic
302727	mean	60.4	mosaic
302727	TRiXi1	57.4	mosaic
302727	TRiXi3	63.4	mosaic
302730	mean	56.5	mosaic
302730	TRiXi1	58.7	mosaic
302730	TRiXi3	54.4	mosaic
