sample	variable	n	min	max	median	iqr	mean	sd	se	ci	XCI pattern
314100	value	6	51	69.2	56.75	4.375	57.083	6.548	2.673	6.871	mosaic
314311	value	3	59.6	70.3	65	5.35	64.967	5.35	3.089	13.29	mosaic
315015	value	5	51.8	60.9	55.8	2.1	55.76	3.356	1.501	4.167	mosaic
315049	value	5	73	94.9	84.2	7.1	84.24	8.145	3.643	10.114	extremely skewed
315058	value	5	51.9	82	66.7	6.8	66.72	10.912	4.88	13.55	mosaic
315077	value	2	60.9	60.9	60.9	0	60.9	0	0	0	mosaic
315092	value	4	60.6	64.8	63.05	1.275	62.875	1.731	0.865	2.754	mosaic
315129	value	4	54.3	69.6	66.05	6.75	64	6.867	3.433	10.927	mosaic
315163	value	3	53.7	55.2	54.5	0.75	54.467	0.751	0.433	1.864	mosaic
315186	value	3	65.5	70.5	68	2.5	68	2.5	1.443	6.21	mosaic
315188	value	6	51.3	82	71.55	11.55	69.917	11.054	4.513	11.6	mosaic
315199	value	5	61.3	71.5	67.6	2.2	67.52	3.85	1.722	4.78	mosaic
315202	value	6	58.9	71.9	62	4.875	63.183	4.866	1.987	5.107	mosaic
315215	value	5	56.5	74.1	70.4	5.3	68.78	7.246	3.241	8.997	mosaic
315222	value	3	52.1	58.4	55.2	3.15	55.233	3.15	1.819	7.825	mosaic
315228	value	3	51.7	53.9	52.8	1.1	52.8	1.1	0.635	2.733	mosaic
315269	value	3	51.2	53.8	52.5	1.3	52.5	1.3	0.751	3.229	mosaic
315313	value	4	50.6	63.7	58.4	4.175	57.775	5.419	2.709	8.622	mosaic
315324	value	5	50.2	57	53.7	5.5	53.68	3.093	1.383	3.841	mosaic
315326	value	4	51.3	66.5	58.7	3.95	58.8	6.207	3.103	9.877	mosaic
315339	value	3	56.4	59.7	58	1.65	58.033	1.65	0.953	4.099	mosaic
315385	value	4	54.4	55.9	54.9	0.525	55.025	0.634	0.317	1.01	mosaic
315386	value	5	50.4	59.2	54.2	4.7	54.18	3.582	1.602	4.448	mosaic
315400	value	6	71.5	83.3	75.15	2.4	75.933	4.021	1.642	4.22	skewed
315867	value	3	57.5	70.1	63.8	6.3	63.8	6.3	3.637	15.65	mosaic
315906	value	4	53.6	66.1	58.3	4.325	59.075	5.222	2.611	8.309	mosaic
315911	value	6	52.8	66.7	59.45	3.675	59.6	4.653	1.9	4.883	mosaic
315918	value	3	66.9	67.6	67.2	0.35	67.233	0.351	0.203	0.872	mosaic
315922	value	4	59.4	66.3	65.1	3.375	63.975	3.229	1.615	5.139	mosaic
315945	value	3	61.3	69.7	65.5	4.2	65.5	4.2	2.425	10.433	mosaic
315952	value	5	66	73.4	69.8	1.2	69.76	2.651	1.186	3.292	mosaic
315973	value	5	61.8	73.7	68	9.2	68.02	5.325	2.381	6.612	mosaic
315988	value	3	73.8	88.7	81.2	7.45	81.233	7.45	4.301	18.507	extremely skewed
316010	value	3	55	59.4	57.2	2.2	57.2	2.2	1.27	5.465	mosaic
316274	value	4	70.9	78.4	76.2	3.075	75.425	3.256	1.628	5.181	skewed
316301	value	2	61.6	61.6	61.6	0	61.6	0	0	0	mosaic
316302	value	3	59.1	63.5	61.3	2.2	61.3	2.2	1.27	5.465	mosaic
316314	value	3	50.1	50.9	50.5	0.4	50.5	0.4	0.231	0.994	mosaic
316315	value	2	57.6	57.6	57.6	0	57.6	0	0	0	mosaic
316324	value	5	52.4	63.4	59.8	2.7	59.42	4.256	1.903	5.284	mosaic
316327	value	5	55.6	62.9	57.2	1.5	58.08	2.844	1.272	3.531	mosaic
316340	value	4	80.6	88.2	85.6	2.8	85	3.217	1.608	5.118	extremely skewed
316345	value	4	50	53.5	51.3	1.175	51.525	1.461	0.731	2.325	mosaic
316346	value	2	62.9	62.9	62.9	0	62.9	0	0	0	mosaic
316348	value	6	62	75.6	70.95	4.1	70.733	4.901	2.001	5.144	mosaic
316354	value	3	60.1	75.1	67.6	7.5	67.6	7.5	4.33	18.631	mosaic
316367	value	2	61	61	61	0	61	0	0	0	mosaic
316373	value	5	54.9	71	64.4	9.6	64.38	6.779	3.032	8.417	mosaic
316387	value	3	74.8	77.8	76.3	1.5	76.3	1.5	0.866	3.726	skewed
316389	value	6	77.4	86.4	84.35	2.4	83.567	3.275	1.337	3.436	extremely skewed
316415	value	2	70.5	70.5	70.5	0	70.5	0	0	0	mosaic
316468	value	2	67	67	67	0	67	0	0	0	mosaic
316472	value	3	51.3	52.3	51.8	0.5	51.8	0.5	0.289	1.242	mosaic
316476	value	4	63.2	82.2	73.25	5.125	72.975	7.766	3.883	12.357	skewed
316493	value	4	54.1	65.9	62.8	5.05	61.4	5.208	2.604	8.288	mosaic
316502	value	3	56.8	58.9	57.8	1.05	57.833	1.05	0.606	2.609	mosaic
316517	value	3	52.7	57.2	55	2.25	54.967	2.25	1.299	5.59	mosaic
316544	value	3	59.4	64.4	61.9	2.5	61.9	2.5	1.443	6.21	mosaic
316558	value	3	50.7	61.6	56.2	5.45	56.167	5.45	3.147	13.539	mosaic
316561	value	5	54.1	65.5	62	1.4	61	4.208	1.882	5.225	mosaic
316568	value	3	53.6	63.9	58.8	5.15	58.767	5.15	2.973	12.794	mosaic
316604	value	5	50.8	62.5	57	6	57.02	4.664	2.086	5.791	mosaic
316611	value	5	50.7	57.3	52.9	2.6	53.42	2.565	1.147	3.184	mosaic
316613	value	4	52.4	56.3	54	1.275	54.175	1.613	0.807	2.567	mosaic
316635	value	6	53.6	71.5	59.45	11.125	61.3	7.351	3.001	7.715	mosaic
316647	value	5	59.1	71.1	64.5	7.1	64.52	4.963	2.22	6.162	mosaic
316652	value	3	79	84.8	81.9	2.9	81.9	2.9	1.674	7.204	extremely skewed
316653	value	3	55.4	73.3	64.3	8.95	64.333	8.95	5.167	22.233	mosaic
316654	value	5	66.3	78.3	73.3	6.8	73.3	4.978	2.226	6.181	skewed
316662	value	6	55.4	61.8	56.75	1.3	57.233	2.353	0.961	2.47	mosaic
316676	value	4	53.4	59	54.85	2.375	55.525	2.473	1.237	3.935	mosaic
316680	value	2	54.7	54.7	54.7	0	54.7	0	0	0	mosaic
316683	value	6	50.5	63.1	54.75	1.45	55.3	4.198	1.714	4.405	mosaic
316689	value	5	63.7	66	64.7	0.4	64.72	0.835	0.373	1.037	mosaic
316700	value	5	68.3	77.8	73	5.2	72.98	3.83	1.713	4.755	skewed
316707	value	5	52.3	77.4	60.9	8	60.88	10.127	4.529	12.574	mosaic
316714	value	3	54	68.1	63.3	7.05	61.8	7.169	4.139	17.808	mosaic
316721	value	4	51	53.7	51.7	1.125	52.025	1.19	0.595	1.893	mosaic
316732	value	2	51.8	51.8	51.8	0	51.8	0	0	0	mosaic
316755	value	2	71.7	71.7	71.7	0	71.7	0	0	0	skewed
316757	value	3	58.2	72.1	65.2	6.95	65.167	6.95	4.013	17.265	mosaic
