sample	method	variable	n	min	max	median	iqr	mean	sd	se	ci
302838	mini	value	3	56.3	61.7	59	2.7	59	2.7	1.559	6.707
302843	mini	value	2	59.5	59.5	59.5	0	59.5	0	0	0
302851	mini	value	2	56.2	56.2	56.2	0	56.2	0	0	0
302852	mini	value	3	50.1	51.2	50.7	0.55	50.667	0.551	0.318	1.368
302856	mini	value	2	63.8	63.8	63.8	0	63.8	0	0	0
302858	mini	value	3	51.8	54.8	53.3	1.5	53.3	1.5	0.866	3.726
302860	mini	value	3	56.4	61	58.7	2.3	58.7	2.3	1.328	5.714
302862	mini	value	3	54.2	54.3	54.2	0.05	54.233	0.058	0.033	0.143
302863	mini	value	3	50.9	61.3	56.1	5.2	56.1	5.2	3.002	12.918
302864	mini	value	2	53.3	53.3	53.3	0	53.3	0	0	0
302868	mini	value	3	50.9	56.3	53.6	2.7	53.6	2.7	1.559	6.707
302871	mini	value	2	53.7	53.7	53.7	0	53.7	0	0	0
302873	mini	value	3	59.5	60.5	60	0.5	60	0.5	0.289	1.242
302878	mini	value	2	52.2	52.2	52.2	0	52.2	0	0	0
302880	mini	value	2	77.3	77.3	77.3	0	77.3	0	0	0
302885	mini	value	3	60.6	61.9	61.2	0.65	61.233	0.651	0.376	1.616
302889	mini	value	3	53.1	56.7	54.9	1.8	54.9	1.8	1.039	4.471
302903	mini	value	3	51.3	60.8	56	4.75	56.033	4.75	2.742	11.8
302939	mini	value	2	55.7	55.7	55.7	0	55.7	0	0	0
302966	mini	value	3	51.5	52.2	51.9	0.35	51.867	0.351	0.203	0.872
302977	mini	value	3	60	70.6	65.3	5.3	65.3	5.3	3.06	13.166
302980	mini	value	3	74	75.7	74.8	0.85	74.833	0.85	0.491	2.113
302986	mini	value	2	56.8	56.8	56.8	0	56.8	0	0	0
303005	mini	value	3	54.2	62	58.1	3.9	58.1	3.9	2.252	9.688
303008	mini	value	3	53	53.4	53.2	0.2	53.2	0.2	0.115	0.497
303013	mini	value	3	62.3	69.3	65.8	3.5	65.8	3.5	2.021	8.694
303023	mini	value	3	57.7	75.5	66.6	8.9	66.6	8.9	5.138	22.109
303031	mini	value	3	67.7	73.5	70.6	2.9	70.6	2.9	1.674	7.204
303037	mini	value	3	53	54.1	53.5	0.55	53.533	0.551	0.318	1.368
303044	mini	value	3	52.7	61.5	57.1	4.4	57.1	4.4	2.54	10.93
303047	mini	value	3	60	64.7	62.4	2.35	62.367	2.35	1.357	5.838
303197	mini	value	3	73.1	77.9	75.5	2.4	75.5	2.4	1.386	5.962
303201	mini	value	3	53.5	55.6	54.5	1.05	54.533	1.05	0.606	2.609
303202	mini	value	3	50.8	52.8	51.8	1	51.8	1	0.577	2.484
303208	mini	value	3	61.1	66.8	64	2.85	63.967	2.85	1.646	7.08
303214	mini	value	3	70.3	76.4	73.3	3.05	73.333	3.05	1.761	7.577
303220	mini	value	2	60.3	60.3	60.3	0	60.3	0	0	0
303224	mini	value	3	54.8	66	60.4	5.6	60.4	5.6	3.233	13.911
303227	mini	value	3	66.9	67.4	67.2	0.25	67.167	0.252	0.145	0.625
303234	mini	value	2	59.1	59.1	59.1	0	59.1	0	0	0
303235	mini	value	2	73.2	73.2	73.2	0	73.2	0	0	0
303271	mini	value	3	60.3	68.8	64.6	4.25	64.567	4.25	2.454	10.558
303282	mini	value	3	52.7	62.5	57.6	4.9	57.6	4.9	2.829	12.172
303286	mini	value	2	53.9	53.9	53.9	0	53.9	0	0	0
303294	mini	value	3	59	64.4	61.7	2.7	61.7	2.7	1.559	6.707
